handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_88a512b8-e876-34d8-8e60-db5fffe20a66,Product,Leave Space,"<p>Leave Space établit à travers sa forme<br>sculpturale contenue dans une sphère<br>armillaire, un décompte précis du nombre<br>et du type d’objets composant ce paysage<br>spatial.<br>Photographiée à un instant T (2023), cette<br>mise en volume des données questionne notre<br>impact au sein d’environnements lointains en<br>mettant en lumière les débris indétectables<br>pour l’oeil, et les acteurs responsables de<br>cette pollution pouvant entraîner l’apparition<br>du syndrome de Kessler.<br>Activée par un mapping génératif<br>informatique et un environnement sonore,<br>cette oeuvre déploie un scénario ou le<br>lancement de Spoutnik 1, en 1957, est le point<br>de départ d’une conquête spatiale gouvernée<br>par cette figure symbolique qu’incarne<br>Elon Musk, faisant fi de la fragilité de notre<br>environnement terrestre. Les orbites basses<br>et géostationnaires deviennent alors le<br>théâtre d’une guerre de territoire, perceptible<br>à travers la visualisation de jeux de données<br>et de leurs extrapolations.</p>",4934da_e909ccf74a944111bf002ad3f15b85f3~mv2.jpg;4934da_34c55a7f783a465d96e7c95791d4207c~mv2.jpg;4934da_4dc2d17a0e324691b920e7d8e0a8a12b~mv2.jpg,Alessia Sanna,,,0.0,,true,PERCENT,0.0,InStock,,,Genre,DROP_DOWN,Féminin,Date,DROP_DOWN,2024,Matériaux,DROP_DOWN,34769 cubes en résine;mapping vidéo;enceintes,dimensions,DROP_DOWN,200 x 200 cm,Lieu d'exposition,DROP_DOWN,Le Pavillon,Lieu,DROP_DOWN,Namur,,,,,,,,,,,,,,,,,,,
product_fefc06b3-f87a-2d0a-3965-1546186a1e79,Product,Screen City Seine Saint Denis,<p>&nbsp;</p>,4934da_08ccd1fd465a491f841dc76c4ee7c8f3~mv2.jpg,Alessia Sanna,,,0.0,,true,PERCENT,0.0,InStock,,,Genre,DROP_DOWN,Féminin,Date,DROP_DOWN,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_100e667e-346b-3ceb-8ffe-5ea1534fb7be,Product,Light and Data II,"<ul>	<li>Florian Bachmann, Marcus Pericin</li></ul><p><span>L'installation combinée son-lumière se compose d'un projecteur, de 20 fils disposés centralement et verticalement et de haut-parleurs actifs. Des points et des lignes animés projetés sur les fils visualisent la dynamique du rayonnement solaire d'une journée (rayonnement global), dont les données ont été collectées sur 24 heures et compressées à 6 minutes pour l'installation. La musique électronique live enveloppe les visiteurs.<br><br>Cette installation lumineuse a été exposée dans le cadre de l'inauguration de la nouvelle unité SolAce dans le NEST de l'Institut fédéral d'essai et de recherche des matériaux (Empa, Dübendorf). Il montre comment, à l'aide de la lumière, des données abstraites, scientifiques ou autres, peuvent être visualisées dans un contexte spatial de telle manière qu'elles deviennent sensuellement tangibles et compréhensibles.<br><br>Le point de départ était les données de mesure de l'Office fédéral de météorologie et de climatologie MétéoSuisse.<br>Un langage de conception visuel basé sur des critères esthétiques a été développé pour visualiser le rayonnement solaire. La vitesse de déplacement, la longueur et la quantité totale de lumière des points et des lignes projetés ont été liées aux données de mesure à l'aide de conversions mathématiques. Les résultats créés par programmation ont ensuite été sélectionnés selon des critères visuels.<br><br>Contrairement à une représentation graphique, les données brutes d'origine ne peuvent plus être dérivées exactement. Cependant, l'interprétation et la transformation artistiques et esthétiques des données de mesure conduisent à une toute nouvelle qualité d'expérience des processus scientifiques avec une invitation à réfléchir sur des faits souvent abstraits.<br>Une impression et une approche alternative et sensuelle s'ouvrent, qui non seulement promeuvent l'art, mais offrent également un grand potentiel pour la science elle-même.</span></p><p>https://bachauf.ch/?nor-works=ligh-and-data</p>",4934da_65361159088748879bfa2a84d62efbf3~mv2.jpg;4934da_a9204fc0369443758bdb6f50a85958ef~mv2.jpg;4934da_e331f547ed464bcc881c85f28c89006d~mv2.jpg,"Florian Bachmann, Marcus Pericin",,,0.0,,true,PERCENT,0.0,InStock,,,Genre,DROP_DOWN,Masculin;Duo,Date,DROP_DOWN,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_89efce60-b338-8f09-de3e-868e7f151493,Product,Tour ICC_Hong Kong,"<div><p>Nous avons transformé le Centre de commerce international de Hong Kong (ICC) - l'une des plus grandes structures au monde avec une surface de LED de 77 000 m2, un record mondial Guinness - en une performance audiovisuelle utilisant le son, les lumières et les données avec le projet « CONNECT », qui a reçu une mention honorable de la School of Creative Media de la City University of Hong Kong. En utilisant les données open source de la NASA, les données de terrain de base de l'ICC et la carte du motif en étoile du bâtiment juste au-dessus, nous avons créé une sculpture de données qui agit comme un pont entre la Terre et le ciel.</p></div>",4934da_ba529b7da10749d2b4e96586e5b84147~mv2.gif;4934da_41cb6f11b1fa4b3080d018f496f17927~mv2.gif;4934da_77aa9513d8f94f278f5202cbbc605e9e~mv2.gif,ouchhh,,,0.0,,true,PERCENT,0.0,InStock,,,Genre,DROP_DOWN,Collectif,Date,DROP_DOWN,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_25a96a90-1c77-6e51-411d-d75e3a5e962e,Product,iOTA,"<div><p>En mathématiques, la carte d'inclusion d'un espace dans un autre est désignée par la minuscule iota. La lumière est le seul élément perceptible par l'œil. Iota est une installation lumineuse inspirée de la physique de la lumière et d'une recherche visant à trouver l'origine de la géométrie. En fonction de la focalisation de l'observateur, la nature de la lumière et ses différents phénomènes peuvent être vus au-delà de la perceptivité de l'esprit humain et tente de les traduire en une forme unifiée et non spatiale.</p></div>",4934da_3ebcdf3b6c9e4590a3b4fc19853556eb~mv2.gif;4934da_9619356a4b7b443f8062ba01ce40a246~mv2.png,ouchhh,,,0.0,,true,PERCENT,0.0,InStock,,,Genre,DROP_DOWN,Collectif,Date,DROP_DOWN,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f0300a87-16a8-2bdc-8b04-bbc50594ec19,Product,ATLAS OCEAN DATA,"<div><p>Ouchhh a créé OCEAN DATA Immersive Experience Public Art pour Les Bassins de Lumières.<br><br>Ocean Data_Bordeaux Bassins of Lights'' utilise des méthodes d'intervention publique créées avec des millions de données de l'océan du Nord Atlas et du golfe de Gascogne. L'installation évoque des mouvements fluides en cascade comme ceux tirés de la bathymétrie de la Gascogne, des données de l'océan du Nord Atlas et plus encore. Ouchhh essaie de faire une différence dans la façon dont nous interagissons avec le monde. En utilisant l'IA et les algorithmes d'apprentissage automatique, Ouchhh vise à sensibiliser et à présenter ces données aux gens à travers l'art. Incarner le monde des données est une tentative de nous aider à associer de manière perceptible cette réalité et aussi à y répondre, à en ressentir l'urgence et à agir.</p><p>Dans l’œuvre Ocean Data d’Ouchhh, les visiteurs peuvent s’immerger dans les profondeurs de l’océan en proposant une expérience temporelle et immersive qui intègre l’art, la science et la technologie. L’installation se transforme en une exploration Océan &amp; Marine où l’on découvre et acquiert des connaissances sur la nature à l’aide de données scientifiques de l’océan du Nord Atlas et du Golfe de Gascogne et de Bordeaux. La ville de Bordeaux confie la gestion des cellules 1 à 4 de la Base sous-marine à Culturespaces. Baptisé « Bassins de Lumières », cet espace comprend 4 bassins d’eau. Les Bassins de Lumières est le plus grand centre d’art numérique au monde. Les expositions numériques embrassent l’architecture monumentale de la Base sous-marine et se reflètent dans l’eau des 4 immenses bassins de 12 m de haut, 110 m de long et 22 m de large, ajoutant ainsi une nouvelle dimension à l’expérience immersive.&nbsp;La base sous-marine de Bordeaux est l'une des cinq bases sous-marines construites par les Allemands sur la côte atlantique française pendant la Seconde Guerre mondiale. Construite entre 1941 et 1943, elle a accueilli des sous-marins italiens et allemands. Elle abrite aujourd'hui un espace culturel.</p><p>&nbsp;</p></div>",4934da_3d80034cdf764230946f53d93c9f0c2d~mv2.gif;4934da_f9088e01c0c54a2fadca046324fdd157~mv2.png,ouchhh,,,0.0,,true,PERCENT,0.0,InStock,,,Genre,DROP_DOWN,Collectif,Date,DROP_DOWN,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_22cc0c29-7c25-18d6-6424-5a369a23fde1,Product,DATAGATE,"<div><p><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span>DÉCLARATION &gt;</span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></p><br><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span>KEPLER : 9,6 années dans l'espace_2662 planètes confirmées_61 supernovae documentées_530 506 étoiles observées<br><br>L'installation se compose de 3 parties : Forme, Lumière et Espace. Lumière est la première œuvre d'art au monde basée sur l'idée d'utilisation de l'apprentissage automatique dans le contexte de la découverte spatiale et de la recherche astronomique grâce aux ensembles de données Kepler de la NASA.<br><br>En utilisant les données Kepler de la NASA, le public pourra observer les exoplanètes [planètes qui orbitent autour d'autres étoiles] dans lesquelles la vie humaine peut exister. En poussant ce concept un peu plus loin, Ouchhh vise à ce que cette œuvre d'art soit considérée comme une porte entre notre planète et d'autres planètes habitables dans l'univers.</span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></div><div><p><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span>&gt;_<br>DÉCLARATION .</span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></p><p><br><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span>Ouchhh visualisera et stylisera les résultats de ces réseaux neuronaux pour identifier les exoplanètes en utilisant l'atténuation du flux. L'œuvre qui en résultera invitera les visiteurs à plonger dans le monde fascinant de la découverte spatiale à travers une sculpture de données immersive. L'installation offrira une expérience sensorielle poétique et est destinée à devenir un monument de la curiosité contemplative de l'humanité et de son profond besoin d'exploration.<br><br>Sculpture LED 360 _ poids : 15 tonnes</span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></p><p>Data Gate, de Ouchhh New Media Studio, propose une approche esthétique de l'exploration des données Kepler alimentée par l'intelligence artificielle. Les données de la mission Kepler sont une très grande feuille de calcul composée d'informations dédiées aux exoplanètes détectées. Chaque tableau de ces feuilles de calcul contient une centaine de colonnes. Chacune de ces colonnes représente un aspect, une caractéristique de ces planètes. En plus de ces feuilles de calcul, les données accessibles au public comprennent les lectures brutes des courbes de lumière, qui ont été utilisées dans la détection des planètes susmentionnées. Ces données ne rendent pas facilement ces planètes détectables, mais diverses méthodes d'IA ont été utilisées pour analyser et extraire des données planétaires à partir de ces courbes de lumière. En raison de leur complexité et de leur taille, il est impossible de les visualiser telles quelles. Nous proposons donc une approche basée sur l'IA pour interpréter et esthétiser ces informations. Notre objectif est d'analyser ces données via l'IA, strictement pour une représentation visuelle alternative de ces données. Ce projet ne propose pas et ne peut pas proposer de détecter de nouvelles planètes, ce qui a été parfaitement fait et rendu public. L'une des techniques que nous utiliserons s'appelle la « réduction de dimensionnalité ».</p></div>",4934da_58f674f734bb41c4ae6a94600d30e855;4934da_b7eed787d0f54ddd9dcca6b44236aba7~mv2.jpg,ouchhh,,,0.0,,true,PERCENT,0.0,InStock,,,Genre,DROP_DOWN,Collectif,Date,DROP_DOWN,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7853d936-ccde-a51a-f007-69c41630893e,Product,"Reporters with Borders, Shadow Box 6","<p>« Reporters With Borders » (Shadow Box 6) est un dispositif interactif haute résolution qui montre simultanément 864 clips vidéo de présentateurs de journaux télévisés aux États-Unis et au Mexique. Lorsque le spectateur se tient devant l'œuvre, sa silhouette apparaît sur l'écran et, à l'intérieur, les journalistes commencent à parler. Toutes les 5 minutes, l'œuvre change les clips vidéo - issus d'une base de données de 1600 - et les classe par sexe, race et pays, de sorte que, par exemple, à gauche, il n'y a que des reporters américains et à droite, uniquement des Mexicains.<br><br>L'œuvre existe en version « shadow box » de petite taille et en salle de projection à grande échelle. Il existe également une édition C-print lightjet.</p>",4934da_75b48850ee8a4c3db319ee45798c94da~mv2.jpg;4934da_bd4f0c71160a492cae2b1b6979848c3b~mv2.jpg;4934da_e9908b8390d444f7afe1ef38b75f8dc7~mv2.jpg;4934da_9ca261408bd24397b00061b5db3ba20d~mv2.jpg,Rafael Lozano-Hemmer,,,0.0,,true,PERCENT,0.0,InStock,,,Genre,DROP_DOWN,Masculin,Date,DROP_DOWN,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_4840a857-f7ae-1175-1ecb-30535fd169d7,Product,Pulse Topology,"<p>« Pulse Topology » est composée de milliers d’ampoules suspendues à différentes hauteurs qui créent une série de crêtes et de vallées, un paysage intime que les visiteurs sont invités à traverser. Chaque ampoule scintille au rythme cardiaque d’un participant différent, ce qui contribue à un agencement connectif. Des capteurs de pouls sur mesure enregistrent les battements de cœur des visiteurs ; lorsqu’un nouveau participant interagit avec l’installation, son pouls s’ajoute à la voûte d’enregistrements au-dessus de lui, l’enregistrement le plus récent remplaçant le plus ancien.<br><br>Formant une plate-forme d’auto-représentation, dans « Pulse Topology », les battements de cœur individuels se rassemblent pour former un chœur immersif de lumière et de son. En traduisant une force intérieure en une forme extérieure, l’œuvre rend tangible le registre autrement invisible du battement de cœur, qui brille puis s’éteint dans l’esprit d’un memento mori.</p>",4934da_8663191e2ab3442db6d87098313f0c23~mv2.jpg;4934da_00a2fa5fd3cb4e75995d70c76d59e4ac;4934da_c64aeb7e632546979b945d10e1ccdfc5~mv2.jpg;4934da_8b21472d190e4e7faa4f0ea7f9064fa2~mv2.jpg,Rafael Lozano-Hemmer,,,0.0,,true,PERCENT,0.0,InStock,,,Genre,DROP_DOWN,Masculin,Date,DROP_DOWN,2021,Matériaux,DROP_DOWN,3000 Ampoules;ordinnateur,dimensions,DROP_DOWN,1500 x 304 m,Lieu d'exposition,DROP_DOWN,Pace Gallery,Lieu,DROP_DOWN,New York,citation,"<p>Rafael Lozano-Hemmer,&nbsp;Pulse Topology, 2022, Ampoules LED, variateurs de lumière LED, capteurs de rythme cardiaque sans contact, lecture audio, ordinateur, 1500 x 304 m,&nbsp;5 éditions,&nbsp;Pace Gallery, New York,&nbsp;This work is licensed under a Creative Commons Attribution -Noncommercial-Share Alike 3.0 Spain License.</p>
",short,"<p>"" Pulse Topology » est une installation composée de milliers d'ampoules qui scintillent au rythme des battements cardiaques des visiteurs, créant un paysage immersif de lumière et de son. Des capteurs captent les pouls, intégrant chaque nouveau battement à l'œuvre, dans un jeu de lumière éphémère qui évoque la fugacité de la vie.""</p>

<p>Données :&nbsp;capteurs de rythme cardiaque sans contact,&nbsp;</p>

<p>interactif&nbsp;,&nbsp;base de données&nbsp;,&nbsp;biométrique&nbsp;,&nbsp;sonore&nbsp;,&nbsp;performance&nbsp;,&nbsp;lumières&nbsp;,&nbsp;éphémère</p>

<p>Mot clé&nbsp;: architecture relationnelle&nbsp;</p>
",,,,,,,,,,,,,,,
product_17ca0cad-e1e8-bf44-2694-595b40387738,Product,The Republic of Null Island,"<p><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span>Le lieu physique où l'équateur et le méridien zéro se croisent est indiqué par une bouée stationnaire au milieu de l'océan. La bouée est située dans les eaux internationales au large des côtes de l'Afrique de l'Ouest et indique les coordonnées GPS 0° N, 0° E. Cet endroit isolé et aride en pleine mer est loin de la terre et des habitations et interactions humaines.</span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></p><p><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span><span>Dans l’espace de données virtuel, il s’agit d’un lieu plein de vie et d’activité, avec de grandes capacités d’hébergement et des espaces pour le sport et les loisirs, un lieu où l’on crée de bons souvenirs de vacances. En effet, les données qui ne peuvent pas être attribuées à leur emplacement géographique correct sont traitées avec les valeurs géographiques 0, 0 et automatiquement attribuées à 0° N, 0° E. De telles erreurs surviennent, par exemple, lorsque la géolocalisation d’une image téléchargée ne peut pas être identifiée. L’image se voit alors attribuer par défaut une latitude et une longitude de « 0, 0 ». Par<br><br>conséquent, dans l’espace de données, le zéro géographique est une collection toujours croissante de données erronées provenant de montres connectées, de sites de partage de photos, d’applications de réservation et de services de cartographie. Avec&nbsp;<em>The Republic of Null Island,</em>&nbsp;Simon Weckert donne à l’espace de données virtuel une manifestation physique. L'installation non seulement met en évidence des données nulles, mais elle géo-usurpe également les visiteurs de The Republic of Null, où ils peuvent parcourir les données accumulées et ajouter les leurs, auxquelles sont automatiquement attribuées les coordonnées de Null Island. Simon Weckert utilise&nbsp;<em>The Republic of Null Island</em>&nbsp;pour imaginer des vides physiques et montrer comment ils se connectent aux réalités créées par les données qui s'y manifestent.</span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></p>",4934da_2ab6e101cd014c1bb308aa9d13eb4183~mv2.jpg;4934da_dc38187ffa4f4e46b823683073778c00~mv2.jpg;4934da_f3eb177e7e3546e0ae6305a5d67c1cfd~mv2.jpg,Simon Weckert,,,0.0,,true,PERCENT,0.0,InStock,,,Genre,DROP_DOWN,Masculin,Date,DROP_DOWN,2024,Matériaux,DROP_DOWN,Vidéo projection,dimensions,DROP_DOWN,à définir,Lieu d'exposition,DROP_DOWN,Aksioma – Institute for Contemporary Art,Lieu,DROP_DOWN,Ljubljana,citation,"<p>Simon Weckert, The Republic of Null Island, 2024, matériaux (medium, support, technique utilisée) dimensions (hauteur avant largeur), Lieu de conservation, Ville, Collection, numéro d’acquisition de musée le cas échéant, licence CC0, lien vers la définition de la licence</p>
",short,"<p>Le site physique où l'équateur et le méridien zéro se croisent est marqué par une bouée stationnaire dans l'océan, située dans les eaux internationales au large de l'Afrique de l'Ouest, à 0° N, 0° E. Cependant, dans l'espace virtuel des données, cet endroit est animé par une abondance de données erronées provenant de montres connectées, sites de partage de photos, applications de réservation et services de cartographie, car les données sans position géographique correcte sont automatiquement assignées à ces coordonnées.4o</p>
",,,,,,,,,,,,,,,
