handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
auto_created_8ba2eea4-0dbe-42b4-b04c-7375b1dc07c2,Product,[NEW] Communimage2,"<p><em>Communimage</em>&nbsp;est un projet artistique collaboratif en ligne initié par le laboratoire culturel Calc et Johannes Gees. Le site Internet&nbsp;www.communimage.ch&nbsp;a été programmé pour l’Expo 01 en juillet 1999. Depuis lors, il en résulte une cartographie sans cesse grandissante de milliers d’images, qui peuvent être téléversées par les utilisatrices et utilisateurs du monde entier. À la fin du mois d’avril 2023, plus de 26 000 images de plus de 2300 autrices et auteurs de 93 pays avaient été partagées. La sculpture&nbsp;<em>Communimage</em>&nbsp;mesurerait environ 165 m2&nbsp;si elle était imprimée aujourd’hui. L’interface visuelle de téléchargement des images est un système de coordonnées, dans lequel chaque champ carré (128 x 128 pixels) occupe une position fixe. Les utilisateurs et utilisatrices peuvent choisir librement l’emplacement de leurs images, dessins, photographies ou textes au sein de la cartographie&nbsp;<em>Communimage</em>. Il faut simplement que chaque nouvelle contribution soit attenante à une image existante sur au moins l’un de ses côtés. Le public devient par conséquent à la fois artiste et commissaire, entrant en dialogue avec les œuvres qui l’entourent. Il détermine et modifie en outre la forme sculpturale de l’ensemble à chaque nouvel ajout. Le concept du site Internet fondé sur la participation et le dialogue perdure depuis plus de 20 ans. Différents états du projet ont été partagés dans de nombreuses expositions dans le monde entier.</p><p>&nbsp;</p><p>https://communimage.ch/browser#</p>",4934da_9d3a7cc34f024fca9b8c64b5c0017316~mv2.jpg,"Johannes Gees, calc Kulturlabor, Gino Esposto",,,0.0,,true,PERCENT,0.0,InStock,,,Genre,DROP_DOWN,groupe,Date,DROP_DOWN,1999,Lieu,DROP_DOWN,Zürich,V big data,DROP_DOWN,à completer,Thème,DROP_DOWN,technologie;communication,Statut,DROP_DOWN,co-création,citation,"<p>Acquisition : Acquisition grâce aux fonds de l'Association des Musées Volontaires de Bâle en 2023. Prêt permanent de l'Association des Musées Volontaires de Bâle. n° inv. S0090</p>
<br>",short,,Matériaux,"Travail en ligne participatif, Site Internet, interface",dimensions,dimensions variables,Lieu d'exposition,KunstZürich,Dataset,"Statistique : 05.09.2023, 12:33 Nombre d'images : 26747 Nombre de contributeurs : 2337 Nombre de pays d'origine : 93",,,,,,,
auto_created_49e0aeb2-2e96-46fa-a4a4-73f23148aa02,Product,[NEW] Kilowatt Hours,"<p>Kilowatt Hours mesure et visualise la consommation énergétique en temps réel de son espace d’exposition. Il s’agit d’une horloge énergétique qui s’appuie sur des conventions visuelles utilisées pour la mesure du temps. La ligne projetée effectue une révolution complète toutes les heures, dans un rayon déterminé par des données énergétiques en temps réel. Des modèles émergent, qui peuvent être retracés au cours des dernières heures, mais qui finissent par s’estomper et s’obscurcir. Au fil du temps, l’œuvre s’oublie. Kilowatt Hours s’appuie sur un héritage du cinéma formaliste et envisage la mesure, la rétroaction et la mémoire, ainsi que l’exploration de la transparence institutionnelle et de la disponibilité publique des données.</p>",,tegabrain,,,0.0,,true,PERCENT,0.0,InStock,,,Genre,DROP_DOWN,Féminin,Date,DROP_DOWN,2011,Lieu,DROP_DOWN,Sydney,V big data,DROP_DOWN,à completer,Thème,DROP_DOWN,à completer,Statut,DROP_DOWN,artiste auteur,citation,,short,<p>photo : © </p>,Matériaux,"Compteur d'énergie piraté, logiciel personnalisé, projection au sol",dimensions,,Lieu d'exposition,Sydney Architecture Festival,Dataset,,,,,,,,
auto_created_e1c1f9bd-20df-49fb-858b-b39e9856bd7c,Product,[NEW] Cold Call,"<p>Cold Call: Time Theft as Avoided Emissions est un système de compensation carbone non conventionnel qui s'appuie sur des stratégies de sabotage des travailleurs et les applique au contexte des entreprises à fortes émissions du secteur des combustibles fossiles. Le vol de temps est une stratégie visant à ralentir délibérément la productivité, où les travailleurs perdent du temps et sont donc payés pour des périodes d'inactivité. Par exemple, ils simulent des congés maladie, dorment au travail, prolongent leurs pauses déjeuner ou participent à des activités non liées au travail comme les médias sociaux ou des appels téléphoniques sans rapport avec le travail.<br>L' installation Cold Call prend la forme d'un centre d'appels, où les publics sont invités à se connecter par téléphone aux cadres du secteur des combustibles fossiles et sont invités à les garder au téléphone le plus longtemps possible. Le temps cumulé volé à ces cadres est ensuite quantifié sous forme de crédits carbone à l'aide d'une nouvelle méthodologie de compensation innovante.<br>Lisez le livre blanc, Time Theft as Avoided Emissions,  qui décrit la méthodologie ici .</p>",,tegabrain,,,0.0,,true,PERCENT,0.0,InStock,,,Genre,DROP_DOWN,Féminin,Date,DROP_DOWN,2023,Lieu,DROP_DOWN,Eindhoven,V big data,DROP_DOWN,à completer,Thème,DROP_DOWN,à completer,Statut,DROP_DOWN,à completer,citation,,short,<p>photo : ©Boudewijn Bollmann </p>,Matériaux,"Logiciel de centre d'appels personnalisé, numéros de téléphone achetés, méthodologie de compensation et tableau de bord des données.",dimensions,,Lieu d'exposition,"Eindhoven"" . Festival STRP",Dataset,,,,,,,,
auto_created_cb585aa0-21ba-45d2-92ca-ba2c7e5fdc1c,Product,[NEW] The Line In Audio Ballerinas,"<p>Les AUDIO BALLERINAS sont un groupe de danseuses qui utilisent des capteurs de lumière qui leur permettent de produire des sons grâce à l'interaction de leurs mouvements avec la lumière environnante. Une variété d'autres instruments électroniques (échantillonneurs numériques, microphones de contact, contrôleurs de lumière en fréquence, capteurs de mouvement, lecteurs MP3 et récepteurs radio) leur permettent de travailler avec les sons, les surfaces et les topographies de l'espace qui les entoure dans une variété de chorégraphies en solo ou en groupe.</p>",,Benoît Maubrey,,,0.0,,true,PERCENT,0.0,InStock,,,Genre,DROP_DOWN,masculin,Date,DROP_DOWN,1998,Lieu,DROP_DOWN,Tokyo,V big data,DROP_DOWN,à completer,Thème,DROP_DOWN,à completer,Statut,DROP_DOWN,duo,citation,,short,<p>photo : © </p>,Matériaux,"Ballerines audio avec râteaux « audio » et son préenregistré.
<br>Les râteaux sont amplifiés via des microphones de contact.",dimensions,/,Lieu d'exposition,"NTT-ICC, Opéra de la ville de Tokyo",Dataset,capteurs de lumière qui leur permettent de produire des sons grâce à l'interaction de leurs mouvements avec la lumière environnante.,,,,,,,
auto_created_b3b6edd3-1e7a-4ac2-ac49-fc7e131b88af,Product,"[NEW] Every One, Every Da","<p>Certains voient la planète Terre comme un être vivant gigantesque, qui nourrit et nourrit l’humanité et une myriade d’autres espèces – une entité dont il faut prendre soin. D’autres la voient comme un rocher rempli de richesses qu’il faut piller sans réfléchir dans une quête à court terme de surabondance. Cette mentalité du « berceau à la tombe », semble-t-il, fait des ravages (à moins que vous ne soyez un fervent incrédule au sujet du changement climatique). Pourquoi ne pas adopter une approche différente, demandez aux artistes Priscilla Bracks et Gavin Sade ? Pour cela, ils se sont lancés dans une tâche presque impossible : visualiser la quantité stupéfiante de carbone produite par l’Australie chaque année.<br>Leur étrange cube en plastique brillant ressemble à quelque chose tout droit sorti de Doctor Who ou de X-Files. Et, comme la meilleure science-fiction, il a des réalités techniques au cœur de son fonctionnement. Every One, Every Day illustre de manière tangible notre production de gaz à effet de serre – son volume de 27 m3 correspond approximativement à la quantité de gaz à effet de serre émise par habitant, quotidiennement. Every One, Every Day est éclairé par un ensemble de LED affichant des motifs lumineux représentant la consommation d'énergie générée par les données du marché australien de l'énergie .<br>Every One, Every Day a été créée à partir de polyéthylène recyclé – des bouteilles de lait usagées – « prêtées » aux artistes par une usine de recyclage de Visy . À la fin du Vivid Festival, ce plastique sera restitué à Visy, où il réintégrera le flux des « nutriments techniques ».<br>Pourrions-nous créer un autre monde ? Un monde qui imite les cycles continus de la nature ? Un monde qui utilise nos « nutriments techniques » tels que le plastique et l’acier dans des cycles continus, tout comme un arbre à feuilles caduques qui perd ses feuilles pour se composter et garder ses racines chaudes et humides ?</p>",,Kuuki,,,0.0,,true,PERCENT,0.0,InStock,,,Genre,DROP_DOWN,masculin;féminin,Date,DROP_DOWN,2013,Lieu,DROP_DOWN,Sydney,V big data,DROP_DOWN,à completer,Thème,DROP_DOWN,à completer,Statut,DROP_DOWN,duo,citation,,short,<p>photo : © </p>,Matériaux,carreaux en polyéthylène fournis par Visy,dimensions,/,Lieu d'exposition,Festival des Lumières Vives,Dataset,"Données et visualisation En 2012, la population australienne, qui comptait alors 22,6 millions d'habitants, a émis environ 546,1 millions de tonnes[1] d'équivalent CO2[2]. Il s'agit d'une statistique complexe à visualiser et à comprendre. Chaque jour, chaque personne est un cube d'un volume de 27 mètres cubes. Les chiffres des émissions annuelles par habitant pour l'Australie sont estimés entre 18 et 25 tonnes. En supposant le chiffre le plus bas, 18 tonnes par habitant et par an, les 27 mètres cubes représentent environ une journée d'émissions de CO2 - où le CO2 est un gaz à 15 °C et 1 atmosphère de pression. Le CO2 est solide à -78,5 °C et 1 atmosphère - ainsi le volume de 27 m3 représente environ 42 tonnes de CO2 solide - par habitant, ce qui est produit en 2,3 ans (toujours en supposant le chiffre le plus bas d'émissions annuelles par habitant de 18 tonnes). Les schémas d'éclairage sont dérivés d'un flux de données du marché australien de l'énergie , en utilisant le graphique de prix et de demande de l'intervalle de répartition pour la Nouvelle-Galles du Sud, illustré ci-dessous pour la période du 21 au 22 mai. Le graphique ci-dessous montre deux pics dans la journée, un le matin vers 8 heures et un deuxième pic plus important vers 18 heures, la demande tombant à un minimum à 4 heures du matin.",,,,,,,
auto_created_07653fb4-f2ea-4b9b-a40c-15e2c4f21e52,Product,[NEW] Southern Downs Climatic Art Competition,"<p>Inspiration<br>Déclaration de l'artiste :  En entrant dans la région de Stanthorpe, nous avons été frappés par le changement radical de la palette de couleurs du paysage. Les couleurs sèches des forêts sclérophylles sèches de la côte est ont été remplacées par un feuillage étrangement chaud dans cet endroit très froid. Tout semblait plus doux et plus raffiné.<br>Nous avons visité Stanthorpe lors d'un week-end pluvieux et orageux du mois d'août. Nous sommes allés à Girraween entre deux averses massives. En nous promenant sur la zone granitique qui marque le début des sentiers de randonnée, le contraste visuel du paysage a eu un effet viscéral sur nous tous. Il y avait des taches noires et blanches contrastées sur les rochers, tandis que de minuscules fleurs sauvages blanches et colorées se détachaient sur un feuillage plus sombre. Tout autour, il y avait des couches et des couches de minuscules taches de couleurs contrastées, donnant au paysage un effet étincelant. Nous avons trouvé cela assez étourdissant et désorientant. Notre fils de 6 mois, Arki, a crié de joie, agitant ses bras et donnant des coups de pied pendant un bon moment.<br></p>",,Kuuki,,,0.0,,true,PERCENT,0.0,InStock,,,Genre,DROP_DOWN,masculin;féminin,Date,DROP_DOWN,2011,Lieu,DROP_DOWN,Granite Belt,V big data,DROP_DOWN,à completer,Thème,DROP_DOWN,à completer,Statut,DROP_DOWN,duo,citation,,short,<p>photo : © </p>,Matériaux,,Dataset,"Les données météorologiques en temps réel du Bureau de météorologie stimuleront des motifs lumineux uniques et évolutifs dans l'œuvre d'art. Par exemple, les lumières peuvent scintiller en cas de vents violents, montrer des effets de particules lorsque des chutes de neige sont prévues, monter ou descendre en cycle lorsque la pression barométrique monte et descend, et « fleurir » avec les fleurs fruitières au printemps avec le blanc et le rouge des pommiers, des abricotiers, des pêchers et des cerisiers. Pendant la journée, la surface réfléchissante du matériau en laiton blanc choisi pour l'œuvre d'art reflétera la palette changeante du ciel et de l'environnement environnant au fil du temps, du matin à l'après-midi et au fil des saisons.",,,,,,,,,,,
auto_created_ee20b714-1111-4fa5-93dd-cb1472107dbc,Product,[NEW] Flower Animals,"<p>Les récifs coralliens du monde entier peuvent être comparés aux canaris dans la mine du réchauffement climatique. Ces animaux sensibles, semblables à des plantes, ont évolué pour vivre dans les mers tropicales. Leurs besoins sont très spécifiques : ni trop froid, ni trop chaud. Une augmentation d'un seul degré Celsius suffit à provoquer le blanchissement de ces joyaux colorés de la mer. De nombreux modèles climatiques indiquent que nous pouvons nous attendre à une augmentation de la température de la mer de deux à six degrés Celsius. Des recherches, comme celles détaillées dans un rapport de 2004 du Centre d'études marines de l'Université du Queensland, indiquent que d'ici 2050, la plupart des principaux systèmes de récifs du monde auront disparu. Beaucoup d'entre nous ont entendu ce genre d'informations, mais elles restent difficiles à comprendre. Il est presque impossible d'imaginer la mort de la Grande Barrière de corail. Vieille de six à neuf mille ans et visible depuis l'espace, c'est la plus grande structure du monde créée par des organismes vivants. Pourtant, même si cela est difficile à croire, ce géant doux et sensible est gravement menacé car il ne peut pas s'adapter assez rapidement aux changements de l'environnement.<br>Pour les artistes Priscilla Bracks et Gavin Sade, la création de Flower Animals était une tentative de comprendre personnellement des informations de ce type. Comme d’autres œuvres de cette exposition, il s’agit d’une tentative de visualiser des informations médiatisées d’une manière poétique qui inspire la compréhension et les liens personnels avec les données.<br>Ce groupe de sculptures de corail-cerveau en feutre moelleux est connecté en temps réel aux données de température collectées par les stations de surveillance de la Grande Barrière de corail, qui font partie du  système d'observation de l'océan de la Grande Barrière de corail de l'Institut australien des sciences marines . Ces coraux présentent des schémas d'éclairage indiquant les changements de température de la mer à Heron Reef, l'un des 2 900 récifs qui composent la Grande Barrière de corail. Leur spectre de couleurs va des teintes froides aux tons chauds jusqu'au blanc éclatant lorsque les températures dépassent celles que les coraux tropicaux sont capables de tolérer sur des périodes prolongées.<br>Les animaux-fleurs rougissent également et émettent des sons lorsque les gens s'approchent d'eux. Dans un récif, les poissons et autres créatures génèrent des quantités importantes de sons. Ces cacophonies sont considérées comme un indicateur de la santé du récif et sont utilisées par les poissons de récif pour déterminer où ils peuvent le mieux vivre et se nourrir.</p>",,Kuuki,,,0.0,,true,PERCENT,0.0,InStock,,,Genre,DROP_DOWN,masculin;féminin,Date,DROP_DOWN,2011,Lieu,DROP_DOWN,Queensland,V big data,DROP_DOWN,à completer,Thème,DROP_DOWN,à completer,Statut,DROP_DOWN,duo,citation,,short,<p>photo : © </p>,Matériaux,feutrage;LED,dimensions,/,Lieu d'exposition,LUMIA,Dataset,"connecté en temps réel aux données de température collectées par les stations de surveillance de la Grande Barrière de corail, qui font partie du système d'observation de l'océan de la Grande Barrière de corail de l'Institut australien des sciences marines . Ces coraux présentent des schémas d'éclairage indiquant les changements de température de la mer à Heron Reef, l'un des 2 900 récifs qui composent la Grande Barrière de corail. Leur spectre de couleurs va des teintes froides aux tons chauds jusqu'au blanc éclatant lorsque les températures dépassent celles que les coraux tropicaux sont capables de tolérer sur des périodes prolongées.",,,,,,,
auto_created_bef2a473-da5c-47df-bbc5-dc3749b96cc0,Product,[NEW] The Transparency Grenade,"<p>Le manque de transparence des entreprises et des gouvernements a été un sujet de controverse ces dernières années, et pourtant notre seul outil pour encourager une plus grande ouverture est le processus lent et fastidieux de réforme des politiques.<br>Présentée sous la forme d'une grenade à main soviétique F1, la grenade de transparence est un remède emblématique à ces frustrations, rendant le processus de fuite d'informations lors de réunions à huis clos aussi simple que de retirer une épingle.<br>Equipée d'un petit ordinateur, d'un microphone et d'une puissante antenne sans fil, la grenade de transparence capture le trafic réseau et l'audio sur le site et les transmet de manière sécurisée et anonyme à un serveur dédié où elles sont exploitées pour en extraire des informations. Des fragments de courrier électronique, des pages HTML, des images et des voix extraits de ces données sont ensuite présentés sur une carte publique en ligne, affichée à l'endroit de la détonation.<br>Qu’il s’agisse d’un employé de confiance, d’un fonctionnaire ou d’un citoyen concerné, une plus grande ouverture n’a jamais été aussi procheLes composants comprennent un ordinateur ARM Cortex-A8 « Gumstix » avec carte d'extension, un Arduino Nano (pour le contrôle de l'affichage SPI), un bargraphe LED (pour le niveau du signal sans fil, contrôlé par les broches GPIO d'Overo COM), une puissante antenne de carte 802.11, une batterie 3,7 V, un écran LCD RVB 64x32 pixels (provenant du NKK « SmartSwitch »), un microphone cardioïde 5 mm et une carte MicroSD 8 Go. L'ordinateur exécute un système d'exploitation Angstrom OS modifié , un système d'exploitation embarqué GNU/Linux populaire sur les appareils ARM..</p>",,julian oliver,,,0.0,,true,PERCENT,0.0,InStock,,,Genre,DROP_DOWN,masculin,Date,DROP_DOWN,2012-2014,V big data,DROP_DOWN,à completer,Thème,DROP_DOWN,à completer,Statut,DROP_DOWN,artiste auteur,,,,citation,,short,<p>photo : ©Khuong Bismuth </p>,Matériaux,"résine translucide hautement résistante, imprimée à partir d'un modèle de stéréolithographie réalisé par le concepteur CAO Ralph Witthuhn à partir d'une réplique de grenade à main soviétique F1",dimensions,,Lieu d'exposition,,Dataset,"La Grenade Transparence exploite GNU/Linux avec les logiciels suivants pertinents pour la partie capture : airmon-ng tcpdump ssh La capture est triviale, envoyée via un tunnel crypté (ssh) comme ceci : # Capture sur un appareil de surveillance avec Snaplen complet via un tunnel SSH à la date formatée # nom de fichier tcpdump -s 0 -i mon0 -w - | ssh xxxx@transparencygrenade.com 'cat &gt; caps/$(date +'%d%m%Y').pcap' La grenade elle-même ne dispose d'aucun autre logiciel lié à la partie capture fonctionnant à bord.",,,,,,,
auto_created_87285d5a-7bd7-4e48-9daa-ef2de7f58cb2,Product,[NEW] INTERNET_ENCEPHALOGRAPHY,,,art of failure,,,0.0,,true,PERCENT,0.0,InStock,,,Genre,DROP_DOWN,masculin;féminin,Date,DROP_DOWN,2011,V big data,DROP_DOWN,à completer,Thème,DROP_DOWN,à completer,Statut,DROP_DOWN,à completer,,,,citation,,short,<p>photo : © </p>,Matériaux,,Dataset,,,,,,,,,,,,
auto_created_a57483ff-2582-42ee-a1e9-46ebe4631920,Product,[NEW] Sillage,"<p>Une surface rectangulaire est remplie d'un liquide sombre. Au mur, la topographie du Chili s'y reflète. Ponctuellement, des ondes concentriques se dessinent et déforment l'image murale qui s'y reflète. La topographie de la zone sismique évoqué se plisse et ondule en réaction au grondement qui se fait entendre. L'enregistrement sismique d'un tremblement de terre est rejoué. Comme l'écho d'une vibration lointaine. Retranscription d'une activité intra terrestre remontant à la surface.<br></p>",,CÉCILE BEAU & NICOLAS MONTGERMONT,,,0.0,,true,PERCENT,0.0,InStock,,,Genre,DROP_DOWN,masculin;féminin,Date,DROP_DOWN,2015,Lieu,DROP_DOWN,Paris,V big data,DROP_DOWN,à completer,Thème,DROP_DOWN,à completer,Statut,DROP_DOWN,co-création,citation,,short,<p>photo : © </p>,Matériaux,"bois, encre de chine, dispositif sonore, vidéoprojection.",dimensions,dimension variable,Lieu d'exposition,Fondation EDF,Dataset,"Données sismiques (Chili, 14h35, 11/03/2010, 18min)",,,,,,,
